task,occupation,paper_count,paper_ids
Present final layouts to clients for approval.,Art Directors,8,"2403.15434,2406.10478,2407.01093,2412.10419,2501.12909,2502.15412,2503.05242,2504.11571"
Present information to customers about the energy efficiency or environmental impact of scientific or technical products.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",12,"2303.11381,2304.00116,2402.01737,2402.05863,2402.15813,2403.19839,2407.00942,2408.15879,2410.01555,2412.18690,2501.02031,2503.18102"
"Present investment information, such as product risks, fees, or fund performance statistics.",Investment Fund Managers,20,"2308.05361,2401.05799,2402.03659,2406.19966,2407.06567,2408.15879,2409.14913,2410.00031,2410.00354,2410.01039,2410.19727,2410.21741,2412.14161,2501.12399,2502.00415,2502.05439,2502.17967,2502.18471,2504.05104,2504.05862"
"Present lectures and conduct discussions to increase students' knowledge and competence using visual aids, such as graphs, charts, videotapes, and slides.","Career/Technical Education Teachers, Postsecondary",51,"2303.11381,2304.08103,2306.01337,2308.05935,2309.08112,2309.12309,2310.01420,2310.02118,2310.02804,2310.10586,2310.17749,2402.05547,2402.09216,2402.12556,2404.06762,2404.17460,2405.00273,2405.13034,2405.18113,2406.03486,2406.11709,2406.19226,2406.19643,2407.21170,2408.05346,2408.15232,2409.03512,2409.07372,2409.08406,2409.09662,2409.15376,2411.05423,2411.07407,2412.11716,2412.16943,2412.18093,2501.11233,2502.00988,2502.00989,2502.01390,2502.05036,2502.05957,2502.13311,2502.15412,2502.17651,2502.18673,2502.19400,2503.00162,2503.05793,2504.05527,2504.14928"
Present loan and repayment schedules to customers.,Loan Interviewers and Clerks,16,"2305.19308,2308.05361,2402.01737,2403.11905,2406.12639,2407.06567,2408.15879,2410.21741,2410.21784,2412.16943,2412.18690,2502.18228,2502.20140,2503.21080,2504.05862,2504.13847"
"Preserve records, documents, and objects, copying records to film, videotape, audiotape, disk, or computer formats as necessary.",Archivists,33,"2303.17491,2306.07906,2312.04889,2312.06677,2402.09727,2402.14207,2402.14871,2403.02574,2403.02959,2403.03481,2403.15729,2406.14938,2406.17755,2407.12861,2407.20183,2408.15836,2409.13740,2409.19006,2411.00816,2411.02937,2411.19539,2501.00888,2501.05468,2501.11233,2502.15690,2502.20541,2503.00162,2503.04629,2503.11346,2503.17684,2503.18102,2504.06271,2504.14822"
Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,Broadcast Technicians,13,"2304.12995,2306.03460,2308.08155,2310.10586,2402.10294,2406.16620,2407.09886,2408.11788,2409.15594,2412.09596,2412.15701,2503.00162,2503.05242"
"Print or request transportation carrier tickets, using computer printer system or system link to travel carrier.",Travel Agents,10,"2312.13545,2402.01737,2404.01343,2405.18208,2409.08069,2410.08164,2410.16456,2411.13904,2412.14161,2504.08694"
Process aerial or satellite imagery to create products such as land cover maps.,Remote Sensing Scientists and Technologists,137,"2303.11381,2304.00116,2304.04370,2305.17390,2306.07209,2306.08129,2307.07697,2309.01352,2309.12311,2309.16292,2310.02118,2310.02804,2310.10645,2310.15166,2311.05437,2311.05772,2311.06330,2311.07076,2311.11904,2311.12871,2312.04889,2312.06351,2312.13876,2401.05507,2401.08392,2401.13649,2402.01698,2402.03610,2402.03877,2402.07204,2402.11451,2402.11453,2402.12275,2402.14744,2403.07376,2403.10517,2403.15434,2403.19322,2403.19839,2403.19962,2404.05569,2405.06691,2405.10620,2405.14205,2405.16533,2405.18358,2406.10803,2406.10918,2406.10958,2406.16620,2406.16903,2406.17987,2407.01231,2407.05890,2407.07061,2407.10718,2407.11014,2407.12366,2407.17695,2407.18035,2407.21024,2407.21040,2408.00948,2408.03615,2408.03631,2408.05346,2408.08054,2408.11051,2408.12036,2408.15512,2409.00054,2409.03256,2409.08069,2409.09040,2409.13445,2409.13537,2410.02730,2410.02787,2410.09034,2410.09252,2410.10270,2410.14594,2410.15281,2410.16400,2410.17462,2410.18032,2410.18792,2410.19848,2410.20666,2411.00028,2411.01114,2411.01511,2411.02937,2411.10753,2411.11910,2412.06162,2412.06412,2412.06724,2412.10510,2412.16172,2412.17339,2412.18072,2412.18428,2501.00224,2501.02031,2501.04227,2501.06193,2502.00988,2502.00989,2502.04392,2502.05036,2502.06472,2502.11271,2502.12929,2502.13025,2502.17651,2502.18873,2502.20301,2503.00566,2503.07044,2503.09572,2503.11664,2503.18102,2503.23314,2504.01911,2504.03561,2504.05104,2504.05527,2504.06271,2504.07643,2504.08066,2504.08694,2504.10036,2504.10157,2504.12330,2504.16728,2504.17200"
Process and issue employee paychecks and statements of earnings and deductions.,Payroll and Timekeeping Clerks,13,"2305.19308,2306.03460,2312.06677,2401.13919,2408.01380,2410.08164,2410.11239,2411.15004,2412.02205,2412.14161,2412.15701,2503.22473,2504.02870"
"Process and prepare documents, such as business or government forms and expense reports.","Office Clerks, General",11,"2303.17491,2305.19308,2312.06677,2402.14871,2403.11905,2407.12821,2410.08164,2410.11239,2412.14161,2412.15274,2502.01390"
Process and record new insurance policies and claims.,Insurance Claims and Policy Processing Clerks,20,"2305.19308,2306.03460,2308.05361,2309.11436,2401.01614,2401.13919,2402.02643,2402.14871,2403.11905,2404.01343,2404.13050,2407.15711,2408.15879,2410.08164,2410.11239,2410.21784,2412.06724,2412.14161,2503.20978,2503.22473"
Process and review employment applications to evaluate qualifications or eligibility of applicants.,"Human Resources Assistants, Except Payroll and Timekeeping",14,"2305.19308,2310.05421,2401.08315,2402.12556,2404.01343,2405.18113,2406.12639,2410.11239,2412.14161,2412.16943,2501.15056,2503.14484,2504.02870,2504.13847"
"Process and review environmental permits, licenses, or related materials.","Environmental Scientists and Specialists, Including Health",30,"2304.00116,2304.04370,2306.07209,2307.07697,2402.01698,2406.13163,2406.17987,2407.11014,2407.21024,2408.06292,2408.15512,2409.00135,2409.05556,2409.13537,2410.10270,2410.14152,2410.18792,2411.01511,2412.17339,2501.00224,2501.02031,2502.00988,2502.13025,2503.00566,2503.09639,2503.17753,2504.07421,2504.07643,2504.14110,2504.17200"
"Process cardiac function studies, using computer.",Nuclear Medicine Technologists,34,"2306.10765,2310.02374,2311.10537,2401.14589,2401.16107,2402.13225,2402.13448,2405.11640,2406.00922,2406.12651,2406.13890,2406.17755,2407.02483,2410.02026,2410.03770,2410.13610,2410.17657,2411.00248,2411.03395,2411.14461,2412.01605,2412.06828,2412.12475,2412.16172,2502.12836,2502.19175,2502.20301,2502.20335,2503.06074,2503.13205,2503.16463,2503.17553,2503.22678,2504.07643"
"Process clinical data, including receipt, entry, verification, or filing of information.",Clinical Data Managers,2,"2303.17071,2305.19308"
Process exposed radiographs using film processors or computer generated methods.,Radiologic Technologists and Technicians,12,"2403.19322,2404.15155,2405.18358,2406.13890,2407.18035,2410.12532,2411.01114,2412.06828,2412.12475,2412.16172,2502.20301,2503.05347"
Process interlibrary loans for patrons.,Library Technicians,9,"2305.13068,2407.12861,2408.15836,2409.00054,2409.13740,2411.06159,2502.20541,2503.18102,2504.07643"
"Process large amounts of data for statistical modeling and graphic analysis, using computers.",Statisticians,215,"2303.17071,2303.17491,2303.17580,2304.00116,2304.04370,2304.05332,2304.09842,2304.09991,2305.17390,2305.19118,2305.19308,2306.07209,2307.07697,2308.12519,2309.01352,2309.11436,2309.12161,2309.17452,2310.00280,2310.02170,2310.02804,2310.05915,2310.06272,2310.09233,2310.19998,2311.03220,2311.06330,2311.06622,2311.08803,2311.17227,2311.17371,2312.03022,2312.04889,2312.07559,2312.08926,2312.13876,2401.05507,2401.07128,2401.14016,2401.15724,2401.17244,2401.17464,2402.01030,2402.02643,2402.03659,2402.11451,2402.11453,2402.11534,2402.12212,2402.13225,2402.14672,2402.14744,2402.17879,2403.00820,2403.03031,2403.04382,2403.04746,2403.05534,2403.09498,2403.15371,2403.15464,2403.15729,2403.19839,2404.07677,2404.07738,2404.14394,2404.14777,2405.00972,2405.04118,2405.06691,2405.14125,2405.16205,2405.16376,2405.16533,2405.17402,2405.18358,2406.04151,2406.04712,2406.06799,2406.07080,2406.07115,2406.10803,2406.12125,2406.12708,2406.16714,2406.18082,2406.19966,2407.01231,2407.01887,2407.10718,2407.12821,2407.12871,2407.15073,2407.21040,2408.01380,2408.01779,2408.03631,2408.05346,2408.06292,2408.08688,2408.09785,2408.12036,2408.13378,2408.14033,2408.15512,2409.00054,2409.00135,2409.12147,2409.12411,2409.14913,2409.15084,2409.16686,2409.19338,2410.00354,2410.01428,2410.02958,2410.06153,2410.07076,2410.07677,2410.08164,2410.09034,2410.09403,2410.09407,2410.09824,2410.10270,2410.11507,2410.12853,2410.14152,2410.14627,2410.15625,2410.17238,2410.17462,2410.18032,2410.20007,2410.20746,2410.24032,2411.00028,2411.00046,2411.00816,2411.01511,2411.01643,2411.03817,2411.05423,2411.07464,2411.11581,2411.11910,2411.18915,2412.02205,2412.06724,2412.07144,2412.09429,2412.12475,2412.14161,2412.16172,2412.20145,2412.21154,2501.00224,2501.00430,2501.00830,2501.02031,2501.04227,2501.08406,2501.12399,2501.16607,2502.00415,2502.00988,2502.00989,2502.04306,2502.04392,2502.04644,2502.05036,2502.05439,2502.06472,2502.07165,2502.09858,2502.11140,2502.11271,2502.11404,2502.11799,2502.12929,2502.13025,2502.13957,2502.13959,2502.14499,2502.14693,2502.17651,2502.19279,2503.00566,2503.02628,2503.05641,2503.07044,2503.09639,2503.11664,2503.13514,2503.13524,2503.16024,2503.16505,2503.18102,2503.22708,2503.23314,2504.00406,2504.02670,2504.02891,2504.05104,2504.06196,2504.07421,2504.08066,2504.10036,2504.10157,2504.12330,2504.12734,2504.13472,2504.14597,2504.16728,2504.16918"
Process loan applications.,New Accounts Clerks,8,"2308.05361,2401.05799,2407.06567,2410.19727,2410.21741,2502.05439,2502.18228,2502.18471"
Process or interpret signals or sensor data.,Robotics Engineers,356,"2301.12050,2302.00763,2302.04761,2302.11649,2303.00855,2303.03480,2303.08268,2303.09031,2303.11366,2303.11381,2303.17491,2303.17580,2304.04370,2304.05332,2304.07297,2304.08103,2304.09349,2304.09842,2304.14721,2305.02412,2305.16653,2305.16986,2305.17066,2305.17144,2305.17390,2306.07929,2306.08129,2306.10322,2306.15724,2307.02485,2307.05973,2307.06082,2307.06187,2307.07162,2308.01552,2308.01734,2308.02151,2308.06391,2308.12519,2308.12923,2309.00986,2309.01352,2309.11382,2309.12311,2309.16292,2309.17176,2310.00092,2310.01627,2310.01957,2310.02071,2310.02264,2310.03026,2310.04406,2310.05146,2310.05915,2310.07889,2310.07968,2310.08535,2310.08740,2310.10645,2310.10686,2310.12821,2310.13227,2310.14403,2310.15127,2310.15166,2310.16427,2310.17140,2310.19998,2310.20151,2311.00262,2311.00416,2311.05437,2311.05657,2311.05772,2311.06330,2311.08166,2311.08803,2311.10813,2311.11904,2311.12871,2311.17371,2311.17842,2312.04372,2312.04854,2312.06351,2312.07540,2312.17180,2401.03388,2401.03945,2401.05443,2401.05507,2401.06603,2401.07324,2401.08577,2401.12963,2401.13649,2401.14016,2401.14151,2401.16158,2401.17464,2402.01030,2402.01469,2402.01521,2402.03610,2402.05188,2402.05733,2402.06529,2402.07872,2402.08392,2402.09205,2402.10051,2402.10178,2402.10670,2402.11451,2402.11489,2402.11534,2402.11571,2402.12275,2402.12914,2402.14672,2402.14891,2402.15809,2402.17574,2402.17930,2402.19446,2403.00810,2403.02502,2403.03031,2403.03101,2403.04746,2403.06221,2403.07376,2403.11381,2403.11886,2403.13002,2403.17246,2403.19962,2404.00246,2404.05569,2404.05902,2404.06413,2404.07103,2404.07439,2404.09127,2404.13050,2404.14394,2404.15190,2404.18243,2404.18638,2404.19065,2405.00461,2405.01359,2405.04118,2405.06691,2405.08888,2405.10292,2405.10620,2405.12147,2405.13034,2405.14205,2405.14314,2405.16247,2405.16510,2405.16533,2405.17402,2405.18358,2405.19487,2405.20309,2406.01014,2406.02818,2406.03008,2406.04151,2406.07115,2406.07155,2406.09988,2406.10918,2406.10958,2406.11176,2406.11231,2406.11317,2406.11776,2406.12125,2406.12651,2406.13163,2406.13381,2406.18082,2407.00632,2407.01476,2407.01887,2407.03884,2407.05674,2407.05890,2407.10718,2407.12366,2407.12821,2407.14414,2407.15073,2407.16741,2407.17695,2407.18035,2408.00948,2408.01380,2408.03615,2408.06520,2408.06849,2408.11021,2408.11051,2408.12036,2408.14033,2408.14307,2409.01392,2409.03166,2409.03256,2409.06205,2409.11279,2409.12147,2409.12294,2409.12411,2409.13445,2409.16686,2409.18073,2409.18345,2409.19471,2410.02052,2410.02730,2410.02742,2410.02787,2410.02810,2410.06153,2410.07677,2410.08164,2410.08328,2410.09034,2410.09407,2410.10270,2410.13757,2410.14141,2410.14594,2410.14627,2410.15281,2410.16400,2410.16919,2410.17462,2410.18963,2410.19811,2410.20007,2410.20624,2410.20666,2410.20753,2410.21784,2410.22457,2410.22552,2410.24032,2411.01114,2411.01643,2411.01747,2411.02337,2411.02599,2411.02937,2411.03817,2411.04535,2411.07464,2411.08432,2411.10869,2411.12977,2411.14484,2411.15004,2411.16707,2411.18915,2411.19539,2412.01752,2412.04141,2412.05449,2412.06162,2412.06412,2412.09596,2412.09605,2412.15462,2412.16172,2412.16176,2412.16682,2412.17149,2501.00224,2501.00830,2501.01702,2501.02342,2501.04575,2501.05478,2501.08406,2501.12539,2501.13896,2501.18816,2502.01390,2502.02066,2502.02067,2502.02533,2502.04180,2502.04306,2502.04392,2502.04485,2502.04644,2502.05664,2502.07373,2502.09858,2502.10857,2502.11140,2502.11271,2502.11799,2502.11882,2502.12929,2502.13428,2502.14145,2502.14276,2502.14496,2502.14693,2502.14848,2502.15359,2502.16565,2502.17543,2502.18873,2503.01490,2503.02197,2503.02682,2503.03686,2503.03800,2503.05641,2503.07044,2503.08162,2503.09572,2503.16024,2503.18494,2503.18666,2503.19271,2503.21735,2503.22122,2503.22708,2504.00587,2504.03160,2504.03561,2504.05527,2504.06260,2504.07421,2504.08066,2504.08525,2504.09602,2504.09781,2504.10036,2504.10055,2504.10127,2504.10458,2504.11243,2504.11536,2504.12330,2504.14239,2504.14597"
Process orders for goods requested in correspondence.,Correspondence Clerks,4,"2402.14871,2404.01343,2412.15274,2502.01390"
Process paperwork for new employees and enter employee information into the payroll system.,Payroll and Timekeeping Clerks,33,"2305.19308,2306.01729,2306.03460,2308.05361,2309.11436,2310.02170,2311.18751,2312.06677,2401.01614,2401.08315,2401.13919,2402.02643,2402.14871,2403.11905,2404.01343,2404.13050,2407.05674,2407.15711,2409.07429,2410.08164,2410.11239,2410.13825,2410.21784,2412.02205,2412.06724,2412.14161,2412.16943,2502.04485,2502.13127,2503.20978,2503.22473,2504.02870,2504.10127"
Process payroll information.,Executive Secretaries and Executive Administrative Assistants,38,"2306.03460,2306.07209,2307.12856,2308.05361,2308.08155,2311.04928,2312.06677,2401.07324,2401.13919,2402.04411,2402.14871,2404.13050,2406.12197,2407.15711,2409.00054,2409.00557,2410.01039,2410.08164,2410.09631,2410.11239,2410.21741,2410.21784,2411.00927,2411.15004,2412.02205,2412.11063,2412.14161,2412.15701,2501.04575,2502.01390,2502.04376,2502.05439,2502.15920,2502.17651,2503.14484,2503.20791,2504.10127,2504.16073"
"Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",Insurance Claims and Policy Processing Clerks,5,"2305.19308,2402.14871,2408.15879,2410.08164,2412.14161"
"Process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.","Human Resources Assistants, Except Payroll and Timekeeping",27,"2305.19308,2306.07209,2309.12309,2310.05421,2310.18075,2311.00416,2311.04928,2401.08315,2402.01737,2402.01750,2402.03719,2402.14871,2404.01343,2405.18113,2408.01380,2409.12411,2409.14913,2410.08164,2410.11239,2412.14161,2412.15701,2412.16943,2501.02348,2501.15056,2502.04485,2504.02870,2504.13847"
Procure parts and maintain inventory and related documentation.,Electrical and Electronic Engineering Technologists and Technicians,15,"2302.04761,2303.08268,2303.17491,2303.17580,2304.08244,2304.14721,2312.06677,2401.05443,2403.13002,2405.01359,2407.11384,2502.10857,2503.22122,2504.02051,2504.05527"
Produce a computer-generated or film image for interpretation by a physician.,Nuclear Medicine Technologists,18,"2303.11381,2303.17071,2306.10765,2401.14589,2401.16107,2404.15155,2405.00461,2406.12651,2406.13890,2407.02483,2407.21051,2410.02026,2410.12532,2410.17657,2411.00248,2501.12051,2502.20301,2503.22678"
"Produce data layers, maps, tables, or reports, using spatial analysis procedures or Geographic Information Systems (GIS) technology, equipment, or systems.",Geographic Information Systems Technologists and Technicians,180,"2302.11649,2303.11381,2304.00116,2306.07209,2306.08129,2307.06082,2307.07697,2308.11730,2309.00986,2309.16292,2310.01957,2310.02804,2310.19998,2311.05437,2311.06330,2311.08803,2311.09721,2311.09818,2311.10813,2311.12871,2311.17227,2312.00326,2312.03022,2312.04889,2312.06351,2312.08926,2312.11242,2312.13876,2401.05507,2401.12963,2401.15724,2401.17464,2402.01469,2402.01698,2402.02643,2402.03877,2402.07204,2402.07872,2402.10051,2402.11163,2402.11451,2402.11453,2402.11534,2402.12275,2402.14672,2402.14744,2403.03031,2403.12482,2403.15434,2403.17246,2403.19839,2404.07103,2404.07677,2404.14741,2404.15923,2405.06691,2405.10620,2405.12035,2405.13021,2405.14205,2405.16533,2405.17402,2405.18208,2405.18358,2406.01014,2406.07080,2406.07115,2406.10803,2406.10958,2406.11176,2406.11317,2406.12125,2406.14550,2406.18082,2407.01231,2407.05890,2407.11014,2407.11417,2407.12821,2407.12871,2407.20183,2407.21024,2407.21040,2408.00948,2408.03615,2408.03631,2408.05346,2408.11051,2409.00054,2409.00557,2409.00608,2409.07497,2409.08069,2409.09040,2409.09717,2409.12147,2409.13445,2409.13537,2409.13753,2409.16220,2409.18345,2410.02787,2410.02958,2410.08164,2410.09407,2410.10270,2410.14627,2410.16400,2410.17462,2410.18032,2410.18792,2410.20666,2410.20746,2410.22457,2411.00028,2411.01511,2411.01643,2411.02937,2411.10753,2411.10869,2411.18915,2412.02205,2412.06162,2412.06724,2412.10425,2412.10434,2412.14161,2412.15701,2412.17339,2412.18428,2412.19723,2412.20005,2412.20145,2501.00224,2501.00430,2501.00830,2501.02031,2501.04575,2501.08406,2501.16607,2502.00988,2502.00989,2502.03283,2502.04392,2502.04644,2502.05036,2502.06472,2502.07373,2502.10996,2502.11140,2502.11882,2502.13025,2502.15359,2502.17651,2502.19279,2502.21087,2503.00566,2503.04768,2503.07044,2503.09639,2503.11664,2503.11739,2503.18102,2503.23314,2504.02670,2504.05527,2504.06271,2504.07421,2504.07643,2504.08694,2504.10036,2504.10127,2504.10157,2504.10458,2504.12330,2504.12682,2504.12734,2504.14597,2504.16918,2504.17200"
"Produce documentation of the questionnaire development process, data collection methods, sampling designs, and decisions related to sample statistical weighting.",Survey Researchers,160,"2302.00763,2304.00116,2304.09991,2306.01729,2306.07209,2307.07697,2308.02151,2308.10144,2310.01444,2310.02170,2310.02804,2310.05029,2310.10467,2310.10645,2310.13549,2310.16427,2311.09510,2311.09618,2312.12009,2312.13876,2401.01614,2401.05268,2401.06201,2402.00798,2402.02643,2402.04559,2402.05733,2402.06634,2402.09727,2402.11451,2402.12914,2402.13547,2402.14207,2402.14871,2402.17879,2403.02574,2403.03101,2403.04382,2403.05534,2403.09498,2403.11905,2403.16854,2403.17359,2404.06762,2404.07738,2404.09077,2404.13050,2405.16510,2405.18358,2406.02795,2406.02818,2406.10958,2406.12197,2406.12639,2406.12708,2406.17987,2407.03884,2407.12821,2407.15073,2407.15711,2407.20183,2407.21040,2408.01380,2408.05346,2408.06292,2408.12036,2408.15232,2408.15512,2408.15836,2409.05556,2409.07497,2409.08406,2409.12411,2409.14913,2409.16220,2409.17213,2409.19338,2410.02810,2410.08475,2410.09403,2410.10270,2410.13185,2410.14152,2410.14627,2410.17462,2410.20746,2410.21784,2410.22584,2410.22932,2410.24032,2411.00028,2411.00816,2411.00927,2411.01114,2411.04535,2411.05762,2411.11910,2411.15004,2411.18915,2412.06412,2412.06724,2412.10425,2412.14161,2412.15701,2412.16844,2412.20145,2501.00332,2501.00430,2501.02348,2501.04227,2501.05468,2501.06189,2501.15056,2502.00988,2502.00989,2502.01390,2502.04306,2502.04392,2502.04485,2502.07165,2502.09369,2502.10937,2502.11271,2502.12568,2502.13025,2502.13428,2502.13957,2502.14767,2502.15920,2502.18873,2502.20140,2502.21087,2503.04629,2503.07044,2503.08506,2503.09639,2503.10689,2503.11664,2503.13524,2503.15272,2503.16874,2503.17684,2503.18102,2504.00824,2504.02891,2504.06271,2504.07385,2504.07421,2504.07643,2504.08525,2504.09407,2504.10036,2504.10157,2504.12322,2504.12330,2504.13079,2504.13847,2504.14597,2504.14822,2504.16728"
"Produce drawings, using computer-assisted drafting systems (CAD) or drafting machines, or by hand, using compasses, dividers, protractors, triangles, and other drafting devices.",Architectural and Civil Drafters,10,"2402.01698,2402.07204,2403.15434,2404.17525,2406.16903,2408.08054,2409.18345,2410.21909,2411.14485,2412.12898"
"Produce electrical, electronic, or mechanical drawings or other related documents or graphics necessary for electromechanical design, using computer-aided design (CAD) software.",Electro-Mechanical and Mechatronics Technologists and Technicians,38,"2303.08268,2304.05332,2304.14721,2305.02412,2306.15724,2308.01423,2310.03026,2310.19998,2311.08166,2401.05443,2401.17464,2402.05188,2402.08392,2402.11453,2403.13002,2403.15434,2404.17525,2405.01359,2406.09988,2406.13163,2406.16903,2408.08054,2408.15512,2409.06205,2409.18345,2410.19811,2410.21909,2411.01114,2411.19539,2412.12898,2412.16172,2501.00224,2501.01205,2501.04575,2501.08406,2502.10857,2504.05527,2504.06260"
"Produce electronics drawings or other graphics representing industrial control, instrumentation, sensors, or analog or digital telecommunications networks, using computer-aided design (CAD) software.",Electrical and Electronic Engineering Technologists and Technicians,3,"2304.14721,2305.02412,2305.15064"
"Produce environmental assessment reports, tabulating data and preparing charts, graphs, or sketches.",Environmental Engineering Technologists and Technicians,84,"2304.00116,2305.19308,2306.07209,2308.02151,2310.01444,2310.02804,2310.19998,2311.06330,2311.09721,2312.13876,2401.04259,2401.17244,2402.01698,2402.06634,2402.10178,2402.11451,2402.11453,2403.02574,2403.13002,2403.19839,2404.07738,2404.13050,2406.10958,2406.17987,2407.11014,2407.21024,2408.03631,2408.05346,2408.06292,2408.12036,2408.15512,2409.00054,2409.00135,2409.05556,2409.12411,2409.13537,2410.09403,2410.10270,2410.14627,2410.16400,2410.17238,2410.17462,2410.18792,2410.19848,2411.01114,2411.01511,2411.03817,2411.10753,2411.18915,2412.06724,2412.14161,2412.15701,2412.18428,2412.21154,2501.00224,2501.00430,2501.01205,2501.02031,2501.04227,2501.11233,2502.00988,2502.00989,2502.05036,2502.07373,2502.09858,2502.11705,2502.11799,2502.14767,2502.14848,2502.17651,2503.00566,2503.07044,2503.11664,2504.05104,2504.05527,2504.07421,2504.07643,2504.08066,2504.09602,2504.10036,2504.11536,2504.14110,2504.14597,2504.17200"
"Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",Medical Transcriptionists,50,"2303.17071,2305.19308,2306.10765,2311.10537,2401.16107,2402.13225,2402.14207,2403.13313,2404.04292,2404.15155,2404.15488,2405.11640,2406.00922,2406.13890,2406.15363,2406.17755,2407.00541,2407.02483,2407.21051,2408.01869,2409.15084,2409.18924,2410.02026,2410.02551,2410.03770,2410.04112,2410.09631,2410.12532,2410.12868,2410.17657,2411.00248,2411.00816,2411.03395,2411.13902,2411.14461,2412.06828,2412.12475,2412.14769,2412.15242,2501.05464,2501.12051,2502.18531,2502.19175,2502.20335,2503.05347,2503.08275,2503.13205,2503.16463,2503.20666,2504.02891"
"Produce or update overlay maps to show information boundaries, water locations, or topographic features on various base maps or at different scales.",Surveying and Mapping Technicians,49,"2306.07209,2307.06082,2307.07697,2312.03664,2312.06351,2401.08577,2402.01698,2402.03877,2402.07204,2402.11453,2402.11489,2402.14744,2402.14891,2403.13002,2405.16533,2406.04151,2406.10958,2406.16903,2407.10718,2407.11014,2407.21024,2408.03631,2408.08054,2408.11051,2409.00135,2409.08069,2409.09040,2409.18345,2410.08475,2410.16400,2410.18792,2410.20666,2411.00028,2411.01114,2411.01511,2411.06159,2411.10753,2411.10869,2412.17339,2412.18072,2502.00989,2502.01390,2502.11271,2502.11705,2502.14848,2502.18873,2504.07643,2504.08694,2504.14597"
"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Quality Control Systems Managers,55,"2304.08244,2304.14721,2305.19308,2306.07209,2307.07697,2310.16340,2401.05443,2401.05507,2402.17879,2403.04123,2403.13002,2404.15923,2405.04118,2406.10958,2406.12639,2406.16714,2406.17987,2408.01380,2408.07060,2408.09785,2408.12036,2408.14307,2408.15512,2409.00135,2409.15364,2410.06384,2410.07677,2410.09034,2410.17462,2411.00927,2411.14484,2411.19539,2412.02205,2412.06724,2412.09429,2412.14161,2412.16172,2501.00224,2501.01205,2501.01741,2502.04485,2502.11799,2502.17924,2502.19279,2503.07044,2503.11664,2503.20791,2503.21735,2504.00406,2504.05527,2504.07385,2504.07421,2504.11243,2504.12322,2504.13472"
Produce rough and finished graphics and graphic designs.,Audio and Video Technicians,33,"2304.12995,2308.01734,2309.12276,2310.00092,2310.02804,2310.10586,2311.05437,2401.03945,2402.10294,2403.01248,2403.15434,2404.01342,2406.10478,2406.11317,2406.16620,2408.01380,2408.11788,2409.12411,2411.05423,2412.09596,2412.10419,2412.15701,2501.11233,2501.12909,2502.00988,2502.05036,2502.11140,2502.15412,2502.17651,2502.19400,2503.05242,2503.14408,2504.11571"
"Produce three-dimensional models, using computer-aided design (CAD) software.",Mechanical Drafters,39,"2303.11381,2304.14721,2309.12276,2309.12311,2310.01957,2310.02118,2310.02804,2310.10645,2311.08166,2311.12871,2402.08392,2402.11451,2403.01248,2403.13002,2403.15434,2404.05569,2404.06413,2404.17525,2406.13163,2406.16903,2408.08054,2408.14307,2408.15512,2409.00135,2409.06205,2409.18345,2410.16919,2410.21909,2411.01114,2411.14485,2412.12898,2501.00224,2501.01205,2502.10857,2503.09572,2504.05527,2504.06260,2504.09602,2504.16918"
Produce written summary reports of financial research results.,Financial Quantitative Analysts,33,"2305.16653,2305.19118,2305.19308,2306.07209,2308.05361,2310.10686,2401.05799,2402.03659,2402.17879,2405.18358,2406.17987,2406.19966,2407.06567,2407.10718,2409.14913,2410.00031,2410.00354,2410.01039,2410.19727,2410.21741,2412.14161,2501.12399,2502.00415,2502.05439,2502.13127,2502.17967,2502.18471,2503.05641,2503.11664,2504.05104,2504.05862,2504.07421,2504.09781"
