Task,Occupation (O*NET-SOC Title),automation_desire,automation_capacity
"Evaluate findings to develop, design, or test equipment or processes.",Petroleum Engineers,4.0,2.0
"Develop strategies, policies or procedures for introducing, evaluating, or modifying information technology applied to nursing practice, administration, education, or research.",Health Informatics Specialists,2.5,2.0
Devise programs to develop executive potential among employees in lower-level positions.,Training and Development Specialists,2.8,2.0
Complete forms in accordance with company procedures.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.5,2.0
"Create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise.",Video Game Designers,2.857142857142857,2.0
Create gameplay prototypes for presentation to creative and technical staff and management.,Video Game Designers,3.1666666666666665,2.0
"Design molds, tools, dies, jigs, or fixtures for use in manufacturing processes.",Mechanical Engineering Technologists and Technicians,3.3333333333333335,2.0
"Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.",Aerospace Engineers,3.0,2.0
Administer employee benefit plans.,Human Resources Specialists,2.142857142857143,2.0
"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",Statisticians,2.75,2.0
Develop and manage work breakdown structure (WBS) of information technology projects.,Information Technology Project Managers,2.7,2.0
Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,Mathematicians,3.4285714285714284,2.0
Develop final construction plans that include aesthetic representations of the structure or details for its construction.,"Architects, Except Landscape and Naval",2.75,2.0
Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,Molecular and Cellular Biologists,2.7142857142857144,2.0
Develop or monitor procedures to ensure adequate quality control of images.,Radiologists,3.6,2.0
"Control, monitor, or operate equipment that regulates or distributes electricity or steam, using data obtained from instruments or computers.",Power Distributors and Dispatchers,3.0,2.0
Control operational budget and expenditures.,Computer and Information Systems Managers,3.7,2.0
Contact organizations to explain services and facilities offered.,Advertising and Promotions Managers,3.1666666666666665,2.0
"Write technical reports or documentation, such as deviation reports, testing protocols, and trend analyses.",Quality Control Analysts,3.75,2.0
Develop strategies to encourage new or increased contributions.,Fundraisers,2.0,2.0
Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,Computer Network Support Specialists,2.0,2.0
Communicate with laboratories or investigators regarding laboratory findings.,Clinical Research Coordinators,3.4,2.0
Collaborate with colleagues to address teaching and research issues.,"Business Teachers, Postsecondary",2.888888888888889,2.0
Integrate engineering elements into unified architectural designs.,"Architects, Except Landscape and Naval",2.8,2.0
"Schedule and confirm patient diagnostic appointments, surgeries, or medical consultations.",Medical Secretaries and Administrative Assistants,2.5714285714285716,2.0
"Assign duties, responsibilities, and spans of authority to project personnel.",Information Technology Project Managers,2.6,2.0
Track product flow from origin to final delivery.,Logistics Analysts,3.0,2.0
"Assemble sets of assumptions, and explore the consequences of each set.",Mathematicians,2.7142857142857144,2.0
"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",Public Relations Specialists,3.25,2.0
"Assemble and issue required documentation, such as tickets, travel insurance policies, or itineraries.",Reservation and Transportation Ticket Agents and Travel Clerks,2.6666666666666665,2.0
"Search public records for transactions such as sales, leases, and assessments.",Appraisers and Assessors of Real Estate,3.375,2.0
"Schedule or administer skill, intelligence, psychological, or drug tests for current or prospective employees.",Human Resources Specialists,2.4444444444444446,2.0
"Arrange for typing, duplication, and distribution of material.",Technical Writers,4.0,2.0
Provide feedback to production staff regarding technical game qualities or adherence to original design.,Video Game Designers,2.25,2.0
"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",Network and Computer Systems Administrators,3.7142857142857144,2.0
Analyze data to recommend placement of wells and supplementary processes to enhance production.,Petroleum Engineers,3.0,2.0
"Quote prices, credit terms, or other bid specifications.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.5,2.0
"Recommend transportation system improvements or projects, based on economic, population, land-use, or traffic projections.",Transportation Planners,3.2857142857142856,2.0
Recruit and schedule research participants.,Social Science Research Assistants,2.5,2.0
Requisition and maintain inventories of materials or supplies necessary to meet production demands.,"Production, Planning, and Expediting Clerks",2.9,2.0
"Research current trends and new technology, such as printing production techniques, computer software, and design trends.",Art Directors,3.0,2.0
"Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications.",Mechanical Engineering Technologists and Technicians,3.6,2.0
Review project plans to plan and coordinate project activity.,Computer and Information Systems Managers,3.2,2.0
"Prepare briefs, legal memoranda, or statements of issues involved in cases, including appropriate suggestions or recommendations.",Judicial Law Clerks,2.375,2.0
"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Computer and Information Systems Managers,3.5,2.0
"Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.",Mechanical Engineers,3.25,2.0
"Operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents.","Bookkeeping, Accounting, and Auditing Clerks",3.0,2.0
Collaborate with promotions directors to produce on-air station promotions.,Media Technical Directors/Managers,2.125,2.0
"Trace lost, delayed, or misdirected baggage for customers.",Reservation and Transportation Ticket Agents and Travel Clerks,1.5,2.0
"Collaborate with colleagues to exchange information, such as selling strategies or marketing information.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.4444444444444446,2.0
"Review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing.",Mechanical Engineering Technologists and Technicians,3.0,2.0
"Manage own accounts and projects, working within budget and scheduling requirements.",Art Directors,2.857142857142857,2.0
"Mark up, paste, and complete layouts and write typography instructions to prepare materials for typesetting or printing.",Art Directors,3.6666666666666665,2.0
"Monitor production rates, and plan rework processes to improve production.",Petroleum Engineers,3.6,2.0
"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",Public Relations Specialists,2.0,2.0
Compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,Producers and Directors,2.5,2.0
"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.",Editors,2.3333333333333335,2.0
Participate in quality improvement activities including discussions of areas where risk of error is high.,Radiologists,2.625,2.0
"Perform administrative duties, such as preparing operational reports, distributing rehearsal call sheets and script copies, and arranging for rehearsal quarters.",Producers and Directors,3.8,2.0
Perform risk assessments to develop response strategies.,Information Technology Project Managers,3.0,2.0
"Perform various clerical or administrative functions, such as ordering and maintaining an inventory of supplies.",Medical Secretaries and Administrative Assistants,3.8333333333333335,1.6666666666666667
"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Computer and Information Research Scientists,3.3333333333333335,1.6666666666666667
"Develop and maintain design level documentation, including mechanics, guidelines, and mission outlines.",Video Game Designers,2.2,1.6666666666666667
Observe pictures through monitors and direct camera and video staff concerning shading and composition.,Media Technical Directors/Managers,2.0,1.6666666666666667
Present final layouts to clients for approval.,Art Directors,2.4285714285714284,1.5
"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Clinical Research Coordinators,3.1,1.5
Prepare sales presentations or proposals to explain product specifications or applications.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.2,1.5
"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity.",Logistics Analysts,3.0,1.5
Perform data backups and disaster recovery operations.,Network and Computer Systems Administrators,3.75,1.5
"Maintain current knowledge of relevant regulations, including proposed and final rules.",Regulatory Affairs Managers,3.7142857142857144,1.5
"Create and manage documentation, production schedules, prototyping goals, and communication plans in collaboration with production staff.",Video Game Designers,3.6666666666666665,1.3333333333333333
